Register Name,Register Address,Register Data,,notes,,
EVENT0,0x00,0x00,,Captured fault/status events,,
EVENT1,0x01,0x00,,Captured fault/status events,,
STATUS0,0x04,0x00,,Current fault/status condition,,
STATUS1,0x05,0x00,,Current fault/status condition,,
STATE,0x08,0x00,,State variables,,
CPCLK_LO,0x09,0x00,,CPCLK period (lower 8 bits),,
CPCLK_HI,0x0A,0x00,,CPCLK period (upper 4 bits),,
MODE,0x0B,0x00,,Ratio/Boost-mode,,
TR_OSC,0x10,0x20,,12MHz oscillator trim,,
TR_IREF,0x12,0x00,,Bias current reference trim,,
TR_BG_BUF,0x13,0x00,,Bandgap buffer voltage trim,,
TR_VBG,0x14,0x00,,Bandgap voltage trim,,
TR_TSD,0x15,0x00,,Thermal shutdown trim,,
TR_CS,0x16,0x00,,CP current trim,,
TR_ZC,0x17,0x00,,CP zero current trim,,
TR_CP,0x18,0x00,,CP extra trim,,
TR_SPARE,0x19,0x00,,extra trim for future ECOs,,
CFG_CP0,0x20,0x00,,Charge pump configuration,,
CFG_CP1,0x21,0x00,,Charge pump configuration,,
CFG_CP2,0x22,0x00,,Charge pump configuration,,
CFG_CP3,0x23,0x00,,Charge pump configuration,,
CFG_CP4,0x24,0x00,,Charge pump configuration,,
CFG_CP5,0x25,0x00,,Charge pump configuration,,
CFG_CP6,0x26,0x00,,Charge pump configuration,,
CFG_REFBIAS,0x27,0x00,,Voltage regulator configuration,,
CFG_IO,0x28,0x00,,I2C I/O delay configuration,,
CFG_PGATE,0x29,0x00,,PGATE IN configuration,,
CFG_SPARE,0x2A,0x00,,extra config for future ECOs,,
CFG_CPCLK0,0x40,0x00,,CPCLK measurement,,
CFG_CPCLK1,0x41,0x78,,CPCLK measurement,,
CFG_CPCLK2,0x42,0x00,,CPCLK measurement,,
CFG_CPCLK3,0x43,0x7E,,CPCLK measurement,,
CFG_CPCLK4,0x44,0x10,,CPCLK measurement,,
CFG_CPCLK5,0x45,0x00,,CPCLK measurement,,
CFG_CPCLK6,0x46,0x00,,CPCLK measurement,,
CFG_CPCLK7,0x47,0xFF,,CPCLK measurement,,
CFG_CPCLK8,0x48,0x0F,,CPCLK measurement,,
CFG_CLKSS,0x49,0xBB,,CLK_SS frequency configuration,,
CFG_BLANK0,0x4A,0x00,,Blanking configuration,,
CFG_BLANK1,0x4B,0x00,,Blanking configuration,,
CFG_LATCH0,0x4C,0x00,,Latched fault configuration,,
CFG_LATCH1,0x4D,0x00,,Latched fault configuration,,
CFG_DEGLITCH0,0x4E,0xA2,,Deglitch configuration,,
CFG_DEGLITCH1,0x4F,0xAA,,Deglitch configuration,,
CFG_DEGLITCH2,0x50,0xAA,,Deglitch configuration,,
CFG_DEGLITCH3,0x51,0x02,,Deglitch configuration,,
CFG_PTIME0,0x52,0x00,,timer configuration,,
CFG_PTIME1,0x53,0x00,,timer configuration,,
