,,VOUT1_TRANS_RATE,MTP Only,0x000,0,Protected,16,0xB800,,POR,,Soft-trim in ps1_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON1_DLY,MTP Only,0x002,2,Protected,16,0x0000,,POR,,Soft-trim in ps1_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON1_RISE,MTP Only,0x004,4,Protected,16,0x0000,,POR,,Soft-trim in ps1_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,VOUT1_MODE,MTP Only,0x006,6,Protected,16,0x0015,,POR,,Soft-trim in ps1_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,ABS_REL
,,,,,,,,,,Bits 6:5,,DFORMAT
,,,,,,,,,,Bits 4:0,,EXPONT
,,TOFF1_DLY,MTP Only,0x008,8,Protected,16,0x0000,,POR,,Soft-trim in ps1_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TOFF1_FALL,MTP Only,0x00A,10,Protected,16,0x0000,,POR,,Soft-trim in ps1_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,MFR_OP1_BEH,MTP Only,0x00C,12,Protected,16,0x0000,,POR,,Soft-trim in ps1_ctrl
,,,,,,,,,,Bits 15:5,,SPARE
,,,,,,,,,,Bit 4,,PRBS
,,,,,,,,,,Bit 3,,SOFT
,,,,,,,,,,Bit 2,,GLOBAL
,,,,,,,,,,Bit 1,,LATCH
,,,,,,,,,,Bit 0,,FLOAT
,,VOUT1_OPERATION,MTP Only,0x00E,14,Protected,16,0x00C4,,POR,,Soft-trim in ps1_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,PS_ON
,,,,,,,,,,Bit 6,,TO_MODE
,,,,,,,,,,Bits 5:4,,VSRC
,,,,,,,,,,Bits 3:2,,Marg_Flt
,,,,,,,,,,Bit 1,,Tran_Ctrl
,,,,,,,,,,Bit 0,,Reserved
,,VOUT2_TRANS_RATE,MTP Only,0x010,16,Protected,16,0xB800,,POR,,Soft-trim in ps2_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON2_DLY,MTP Only,0x012,18,Protected,16,0x0000,,POR,,Soft-trim in ps2_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON2_RISE,MTP Only,0x014,20,Protected,16,0x0000,,POR,,Soft-trim in ps2_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,VOUT2_MODE,MTP Only,0x016,22,Protected,16,0x0015,,POR,,Soft-trim in ps2_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,ABS_REL
,,,,,,,,,,Bits 6:5,,DFORMAT
,,,,,,,,,,Bits 4:0,,EXPONT
,,TOFF2_DLY,MTP Only,0x018,24,Protected,16,0x0000,,POR,,Soft-trim in ps2_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TOFF2_FALL,MTP Only,0x01A,26,Protected,16,0x0000,,POR,,Soft-trim in ps2_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,MFR_OP2_BEH,MTP Only,0x01C,28,Protected,16,0x0000,,POR,,Soft-trim in ps2_ctrl
,,,,,,,,,,Bits 15:5,,SPARE
,,,,,,,,,,Bit 4,,PRBS
,,,,,,,,,,Bit 3,,SOFT
,,,,,,,,,,Bit 2,,GLOBAL
,,,,,,,,,,Bit 1,,LATCH
,,,,,,,,,,Bit 0,,FLOAT
,,,,,,,,,,Bits 15:0,,
,,VOUT2_OPERATION,MTP Only,0x01E,30,Protected,16,0x00C4,,POR,,Soft-trim in ps2_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,PS_ON
,,,,,,,,,,Bit 6,,TO_MODE
,,,,,,,,,,Bits 5:4,,VSRC
,,,,,,,,,,Bits 3:2,,Marg_Flt
,,,,,,,,,,Bit 1,,Tran_Ctrl
,,,,,,,,,,Bit 0,,Reserved
,,VOUT3_TRANS_RATE,MTP Only,0x020,32,Protected,16,0xB800,,POR,,Soft-trim in ps3_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON3_DLY,MTP Only,0x022,34,Protected,16,0x0000,,POR,,Soft-trim in ps3_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON3_RISE,MTP Only,0x024,36,Protected,16,0x0000,,POR,,Soft-trim in ps3_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,VOUT3_MODE,MTP Only,0x026,38,Protected,16,0x0015,,POR,,Soft-trim in ps3_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,ABS_REL
,,,,,,,,,,Bits 6:5,,DFORMAT
,,,,,,,,,,Bits 4:0,,EXPONT
,,TOFF3_DLY,MTP Only,0x028,40,Protected,16,0x0000,,POR,,Soft-trim in ps3_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TOFF3_FALL,MTP Only,0x02A,42,Protected,16,0x0000,,POR,,Soft-trim in ps3_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,MFR_OP3_BEH,MTP Only,0x02C,44,Protected,16,0x0000,,POR,,Soft-trim in ps3_ctrl
,,,,,,,,,,Bits 15:5,,SPARE
,,,,,,,,,,Bit 4,,PRBS
,,,,,,,,,,Bit 3,,SOFT
,,,,,,,,,,Bit 2,,GLOBAL
,,,,,,,,,,Bit 1,,LATCH
,,,,,,,,,,Bit 0,,FLOAT
,,,,,,,,,,Bits 15:0,,
,,VOUT3_OPERATION,MTP Only,0x02E,46,Protected,16,0x00C4,,POR,,Soft-trim in ps3_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,PS_ON
,,,,,,,,,,Bit 6,,TO_MODE
,,,,,,,,,,Bits 5:4,,VSRC
,,,,,,,,,,Bits 3:2,,Marg_Flt
,,,,,,,,,,Bit 1,,Tran_Ctrl
,,,,,,,,,,Bit 0,,Reserved
,,VOUT4_TRANS_RATE,MTP Only,0x030,48,Protected,16,0xB800,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON4_DLY,MTP Only,0x032,50,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON4_RISE,MTP Only,0x034,52,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,VOUT4_MODE,MTP Only,0x036,54,Protected,16,0x0015,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,ABS_REL
,,,,,,,,,,Bits 6:5,,DFORMAT
,,,,,,,,,,Bits 4:0,,EXPONT
,,TOFF4_DLY,MTP Only,0x038,56,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TOFF4_FALL,MTP Only,0x03A,58,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,MFR_OP4_BEH,MTP Only,0x03C,60,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:5,,SPARE
,,,,,,,,,,Bit 4,,PRBS
,,,,,,,,,,Bit 3,,SOFT
,,,,,,,,,,Bit 2,,GLOBAL
,,,,,,,,,,Bit 1,,LATCH
,,,,,,,,,,Bit 0,,FLOAT
,,,,,,,,,,Bits 15:0,,
,,VOUT4_OPERATION,MTP Only,0x03E,62,Protected,16,0x00C4,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,PS_ON
,,,,,,,,,,Bit 6,,TO_MODE
,,,,,,,,,,Bits 5:4,,VSRC
